Representative	State	District	YouTube URL	Party
Leader Steny Hoyer	MD	5	http://www.youtube.com/user/LeaderHoyer
Baron P. Hill 	IN	9	http://www.youtube.com/user/CongressmanBaronHill
Anna Eshoo	CA	14	http://www.youtube.com/user/RepAnnaEshoo
Bill Delahunt 	MA	10	http://www.youtube.com/repdelahunt
Hank Johnson	GA	4	http://www.youtube.com/user/RepHankJohnson
Ed Perlmutter	CO	7	http://www.youtube.com/RepPerlmutter
Dennis Kucinich	OH	10	http://www.youtube.com/djkucinich
Albio Sires 	NJ	13	http://www.youtube.com/RepSiresNJ13	D
Stephanie Herseth Sandlin	SD	At-large	http://www.youtube.com/user/hersethsandlin	D
Robert Wexler	FL	19	http://www.youtube.com/user/CongressmanWexler	D
Joe Courtney	CT	2	http://www.youtube.com/user/RepCourtney	D
Mike Doyle	PA	14	http://www.youtube.com/user/CongressmanDoyle 	D
Jim Marshall	GA 	8	http://www.youtube.com/user/RepJimMarshall	D
George Miller	CA	7	http://www.youtube.com/RepGeorgeMiller 	D
Ron Kind	WI	3	http://www.youtube.com/user/repronkind	D
Brad Ellsworth 	IN	8	http://www.youtube.com/user/RepBradEllsworth	D
Jim Cooper	TN	5	http://www.youtube.com/user/RepJimCooper	D
Bart Stupak	MI	1	http://www.youtube.com/user/BartStupak	D
Maxine Waters	CA	35	http://www.youtube.com/MaxineWaters	D
Pete Stark	CA	13	http://www.youtube.com/repstark	D
Sander Levin	MI	12	http://www.youtube.com/user/MI12yes	D
Charlie Rangel	NY	15	http://www.youtube.com/user/RepRangel	D
John Spratt	SC	5	http://www.youtube.com/JohnMSpratt	D
Russ Carnahan	MO	3	http://www.youtube.com/congressmancarnahan	D
David Price	NC	4	http://www.youtube.com/repdavidprice	D
Ron Klein	FL 	22	http://www.youtube.com/user/RonKlein2008	D
Congressional Hispanic Caucus		N/a	http://www.youtube.com/user/OfficialCHC	D
Mike Ross	AR	4	http://www.youtube.com/MikeRossArkansas04	D
Bobby Scott	VA	3	http://www.youtube.com/user/RepBobbyScott	D
 Jason Altmire	PA	4	http://www.youtube.com/user/congressmanaltmire	D
 Xavier Becerra	CA	31	http://www.youtube.com/user/XavierBecerra	D
 William Lacy Clay	MO	1	http://www.youtube.com/user/CongressmanClay	D
 Steve Cohen	TN	9	http://www.youtube.com/user/RepCohen	D
 Lloyd Doggett	TX	25	http://www.youtube.com/user/doggett	D
 Diana DeGette	CO	1	http://www.youtube.com/user/ddegette	D
 Mike Honda	CA	15	http://www.youtube.com/user/robpierson	D
 Gabrielle Giffords	AZ	8	http://www.youtube.com/user/giffords2	D
 Peter DeFazio	OR	4	http://www.youtube.com/user/PeterDeFazio	D
 Keith Ellison	MN	5	http://www.youtube.com/user/RepKeithEllison	D
 Rush Holt	NJ	12	http://www.youtube.com/user/RushHolt	D
 Darlene Hooley			http://www.youtube.com/user/DarleneHooley	D
 Jay Inslee	WA	1	http://www.youtube.com/user/jayinslee	D
 Steve Israel	NY	2	http://www.youtube.com/user/RepSteveIsrael	D
 Hank Johnson	GA	4	http://www.youtube.com/user/RepHankJohnson	D
 Steve Kagen	WI	8	http://www.youtube.com/user/CongressmanKagen	D
 Nick Lampson			http://www.youtube.com/user/CongressmanLampson	D
 Barbara Lee	CA	9	http://www.youtube.com/user/RepLee	D
 John Lewis	GA	5	http://www.youtube.com/user/RepJohnLewis	D
 Ed Markey	MA	7	http://www.youtube.com/user/RepMarkey	D
 Kendrick Meek	FL	17	http://www.youtube.com/user/KendrickBMeek	D
 Betty McCollum	MN	4	http://www.youtube.com/user/RepMcCollum	D
 Brad Miller	NC	13	http://www.youtube.com/user/MillerNC13	D
 Mike McIntyre	NC	7	http://www.youtube.com/user/RepMikeMcIntyre	D
 Dennis Moore	KS	3	http://www.youtube.com/user/RepMoore	D
 Gwen Moore	WI	4	http://www.youtube.com/user/RepGwenMoore	D
 John Murtha	PA	12	http://www.youtube.com/user/murthapa12	D
 David Obey	WI	7	http://www.youtube.com/user/DavidObey	D
 Speaker Nancy Pelosi	CA	8	http://www.youtube.com/nancypelosi	D
 Earl Pomeroy	ND	at-large	http://www.youtube.com/user/earlpomeroy	D
 Lucille Roybal-Allard	CA	34	http://www.youtube.com/user/RepRoybalAllard	D
 Tim Ryan	OH	17	http://www.youtube.com/user/TimRyanVision	D
 Jan Schakowsky	IL	9	http://www.youtube.com/user/JanSchakowsky	D
 Allyson Schwartz	PA	13	http://www.youtube.com/user/RepAllysonSchwartz	D
 Louise Slaughter	NY	28	http://www.youtube.com/user/louiseslaughter	D
 Hilda Solis	CA	32	http://www.youtube.com/user/RepHildaSolis	D
 Ellen Tauscher	CA	10	http://www.youtube.com/user/RepEllenTauscher	D
 Nydia Velazquez	NY	12	http://www.youtube.com/user/nydiavelazquez	D
 Anthony Weiner	NY	9	http://www.youtube.com/user/BrianIndovina	D
 Education and Labor		n/a	http://www.youtube.com/EdLaborDemocrats	D
 House Judiciary		n/a	http://www.youtube.com/user/HouseJudiciary
 House Small Business Democrats		n/a	http://www.youtube.com/user/HouseSmallBizDems 	D
 Robert Aderholt	AL	4	http://www.youtube.com/user/RobertAderholt	R
 Gresham Barrett	SC	3	http://www.youtube.com/user/greshambarrett	R
 Gus Bilirakis	FL	9	http://www.youtube.com/user/RepGusBilirakis	R
  John Boehner	OH	8	http://www.youtube.com/user/JohnBoehner	R
  Roy Blunt	MO	7	http://www.youtube.com/user/RepRoyBlunt	R
  Michele Bachmann	MN	6	http://www.youtube.com/user/RepMicheleBachmann	R
  John Boozman	AR	3	http://www.youtube.com/user/BoozmanPressOffice	R
  Kevin Brady	TX	8	http://www.youtube.com/user/KBrady8	R
  Paul Broun	GA	10	http://www.youtube.com/user/RepPaulBroun	R
  Michael Burgess	TX	26	http://www.youtube.com/user/drmichaelburgess	R
  Dan Burton	IN	5	http://www.youtube.com/user/CongressmanDanBurton	R
  John Campbell	CA	48	http://www.youtube.com/user/RepJohnCampbellCA48	R
  Eric Cantor	VA	7	http://www.youtube.com/user/EricCantor	R
  John Carter	TX	31	http://www.youtube.com/user/RepJohnCarter	R
  Mike Castle	DE	AL	http://www.youtube.com/user/mncastle	R
  Mike Conaway	TX	11	http://www.youtube.com/user/mikeconaway11	R
  Geoff Davis	KY	4	http://www.youtube.com/user/CongressmanDavis	R
  Mario Diaz Balart	FL	25	http://www.youtube.com/user/MarioDiazBalart	R
  Vernon Ehlers	MI	3	http://www.youtube.com/user/CongressmanEhlers	R
  Mary Fallin	OK	5	http://www.youtube.com/user/MaryFallin	R
  Jeff Flake	AZ	6	http://www.youtube.com/user/flakeoffice	R
  Randy Forbes	VA	4	http://www.youtube.com/user/RepRandyForbes	R
  Virginia Foxx	NC	5	http://www.youtube.com/user/RepVirginiaFoxx	R
  Trent Franks	AZ	2	http://www.youtube.com/user/RepTrentFranks	R
  Louie Gohmert	TX	1	http://www.youtube.com/user/GohmertTX01	R
  Doc Hastings	WA	4	http://www.youtube.com/user/RepDocHastings	R
  Jeb Hensarling	TX	5	http://www.youtube.com/user/RepJebHensarling	R
  Wally Herger	CA	2	http://www.youtube.com/user/RepWallyHerger	R
  Bob Inglis	SC	4	http://www.youtube.com/user/CongressmanInglis	R
  Jim Jordan	OH	4	http://www.youtube.com/user/RepJimJordan	R
  Steve King	IA	5	http://www.youtube.com/user/RepSteveKing	R
  Jack Kingston	GA	1	http://www.youtube.com/user/JackKingston	R
  John Kline	MN	2	http://www.youtube.com/user/RepJohnKline	R
  Tom Latham	IA	4	http://www.youtube.com/user/CongressmanTomLatham	R
  Bob Latta	OH	5	http://www.youtube.com/user/CongressmanBobLatta	R
  Dan Lungren	CA	3	http://www.youtube.com/user/RepLungrenCA03	R
  Kevin McCarthy	CA	22	http://www.youtube.com/user/RepKevinMcCarthy	R
  Michael McCaul	TX	10	http://www.youtube.com/user/MichaelTMcCaul	R
  Thaddeus McCotter	MI	11	http://www.youtube.com/user/RepMcCotter	R
  John McHugh	NY	23	http://www.youtube.com/user/RepJohnMcHugh	R
  Cathy McMorris Rodgers	WA	5	http://www.youtube.com/user/McMorrisRodgers	R
  Buck McKeon	CA	25	http://www.youtube.com/user/BuckMcKeon	R
  Don Manzullo	IL	16	http://www.youtube.com/user/repmanzullo	R
  Candice Miller	MI	10	http://www.youtube.com/user/candicemi10	R
  Devin Nunes	CA	21	http://www.youtube.com/user/RepDevinNunes	R
  Ron Paul	TX	14	http://www.youtube.com/user/congressmanronpaul	R
  Tom Price	GA	6	http://www.youtube.com/user/RepTomPrice	R
  Adam Putnam	FL	12	http://www.youtube.com/user/RepPutnam	R
  George Radanovich	CA	19	http://www.youtube.com/user/RadanovichCA19	R
  Dennis Rehberg	MT	AL	http://www.youtube.com/user/DennyRehberg	R
  Dave Reichert	WA	8	http://www.youtube.com/user/repdavereichert	R
  Mike Rogers	AL	3		R
  Mike Rogers	MI	8	http://www.youtube.com/user/RepMikeRogers	R
  Peter Roskam	IL	6	http://www.youtube.com/user/RoskamIL06	R
  Paul Ryan	WI	1	http://www.youtube.com/user/RepPaulRyan	R
  Bill Shuster	PA	9	http://www.youtube.com/user/RepShuster	R
  Chris Smith	NJ	4	http://www.youtube.com/user/USRepChrisSmith	R
  John Sullivan	OK	1	http://www.youtube.com/user/SullivanOK01	R
  Todd Tiahrt	KS	4	http://www.youtube.com/user/CongressmanTiahrt	R
  Greg Walden	OR	2	http://www.youtube.com/user/RepGregWalden	R
  Frank Wolf	VA	10	http://www.youtube.com/user/RepFrankWolf	R
  Don Young	AK	AL	http://www.youtube.com/user/RepDonYoung	R
  Education and Labor Republicans	Committee		http://www.youtube.com/user/EdLaborRepublicans 	R
  Ways and Means Republicans	Committee		http://www.youtube.com/user/WandMRepublicans	R
  Mike Pence	IN	6	http://www.youtube.com/user/CongressmanMikePence
  Cynthia Lummis	WY	AL	http://www.youtube.com/user/CynthiaLummis

