Senator	State	YouTube URL	Party
Boxer, Barbara	CA	http://www.youtube.com/SenatorBoxer	D
Brown, Sherrod	OH	http://www.youtube.com/user/SherrodBrownOhio	D
Cantwell, Maria	WA	http://www.youtube.com/SenatorCantwell	D
Cardin, Ben	MD	http://www.youtube.com/SenatorCardin	D
Democratic Policy Comm	NA	http://www.youtube.com/SenateDemsDPC	D
Dodd, Chris	CT	http://www.youtube.com/SenChrisDodd	D
Dorgan, Byron	ND	http://www.youtube.com/senatordorgan	D
Feingold, Russ	WI	http://www.youtube.com/SenRussFeingold	D
Feinstein, Dianne	CA	http://www.youtube.com/SenatorFeinstein	D
Harkin, Tom	IA	http://www.youtube.com/SenatorTomHarkin	D
Lautenberg, Frank	NJ	http://www.youtube.com/franklautenberg	D
Leahy, Patrick	VT	http://www.youtube.com/SenatorPatrickLeahy 	D
Leahy, Patrick	VT	http://www.youtube.com/SenatorPatrickLeahy 	D
Lincoln, Blanche	AR	http://www.youtube.com/SenatorLincoln	D
Majori Leader/Caucus	NA	http://www.youtube.com/senateDemocrats	D
Menendez, Robert	NJ	http://www.youtube.com/SenatorMenendezNJ	D
Nelson, Ben	NE	http://www.youtube.com/SenBenNelson	D
Nelson, Bill	FL	http://www.youtube.com/SenBillNelson	D
Pryor, Mark	AR	http://www.youtube.com/SenatorPryor	D
Reid, Harry	NV	http://www.youtube.com/SenatorReid	D
Salazar, Ken	CO	http://www.youtube.com/SenatorSalazar	D
Schumer, Charles	NY	http://www.youtube.com/senatorschumer	D
Stabenow, Debbie	MI	http://www.youtube.com/SenatorStabenow	D
Tester, Jon	MT	http://www.youtube.com/SenatorJonTester	D
Webb, Jim	VA	http://www.youtube.com/SenatorWebb	D
Whitehouse, Sheldon	RI	http://www.youtube.com/SenatorWhitehouse	D
Wyden, Ron	OR	http://www.youtube.com/user/SenRonWyden	D
Shaheen, Jeanne	NH	http://www.youtube.com/senatorshaheen	D
Sanders, Bernie	VT	http://www.youtube.com/SenatorSanders	I
Alexander, Lamar	TN	http://www.youtube.com/user/lamaralexander	R
Bond, Christopher	MO	http://www.youtube.com/user/CSBondMO	R
Brownback, Sam	KS	http://www.youtube.com/user/SenatorSamBrownback	R
Burr, Richard	NC	http://www.youtube.com/senatorrichardburr	R
Coburn, Tom	OK	http://www.youtube.com/SenatorCoburn	R
Collins, Susan	ME	http://www.youtube.com/SenatorSusanCollins	R
Cornyn, John	TX	http://www.youtube.com/senjohncornyn	R
Corker, Bob	TN	http://www.youtube.com/SenatorCorker	R
Crapo, Mike	ID		R
DeMint, Jim	SC	http://www.youtube.com/user/SenJimDeMint	R
Ensign, John	NV	http://www.youtube.com/user/SenatorEnsign	R
Enzi, Mike	WY	http://www.youtube.com/user/SenatorEnzi	R
Grassley, Chuck	IA	http://www.youtube.com/user/SenChuckGrassley	R
Hutchison, Kay Bailey	TX	http://www.youtube.com/user/SenatorHutchison	R
Inhofe, James	OK	http://www.youtube.com/JimInhofePressOffice	R
Inhofe, James	OK	http://www.youtube.com/user/InhofeEPWPress	R
Isakson, Johnny	GA		R
Kyl, Jon	AZ	http://www.youtube.com/user/SenJonKyl	R
Lugar, Richard	IN	http://www.youtube.com/senatorlugar	R
McConnell, Mitch	KY	http://www.youtube.com/RepublicanLeader	R
Martinez, Mel	FL	http://www.youtube.com/user/SenMartinezdotgov	R
Murkowski, Lisa	AK	http://www.youtube.com/senatormurkowski	R
Sessions, Jeff	AL		R
Thune, John	SD	http://www.youtube.com/user/JohnThune	R
